Rank,Artist,Album,Total,EAS
379,H.E.R.,H.E.R.,1529443316,1526980
380,Ellie Goulding,Brightest Blue,1528031503,1525571
381,Playboi Carti,Playboi Carti,1526303002,1523845
382,OMI,Me 4 U,1522623744,1520172
383,Mumford & Sons,Sigh No More,1520260166,1517812
384,24kGoldn,El Dorado,1519124416,1516678
385,Daft Punk,Random Access Memories,1519106202,1516660
386,Meek Mill,Championships,1518820185,1516374
387,Mark Ronson,Uptown Special,1516282894,1513841
388,Pitbull,Global Warming: Meltdown (Deluxe Version),1514533234,1512094
389,Miley Cyrus,Plastic Hearts,1513915702,1511478
390,Red Hot Chili Peppers,By the Way (Deluxe Edition),1513249656,1510813
391,5 Seconds of Summer,5 Seconds Of Summer (Deluxe),1511782979,1509349
392,Maluma,11:11,1508203862,1505775
393,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],1505649488,1503225
394,alt-J,An Awesome Wave (Deluxe Version),1500242218,1497826
395,J. Cole,Born Sinner (Deluxe Version),1498093331,1495681
396,Machine Gun Kelly,Tickets To My Downfall (SOLD OUT Deluxe),1495440158,1493032
397,Jack Ü,Skrillex and Diplo present Jack Ü,1488328926,1485932
398,fun.,Some Nights (Deluxe),1487858489,1485463
399,Fifth Harmony,Reflection (Japan Deluxe Edition),1487219519,1484825
400,Demi Lovato,Demi (Deluxe),1486085933,1483693
401,Myke Towers,Easy Money Baby,1483591618,1481203
402,blink-182,Enema Of The State,1483049946,1480662
403,Nicki Minaj,Pink Friday ... Roman Reloaded (Deluxe Edition),1481397689,1479012
404,Childish Gambino,Because the Internet,1478900615,1476519
405,Justin Bieber,Believe (Deluxe Edition),1478328792,1475948
406,Coldplay,X&Y,1476303708,1473926
407,KYLE,Light of Mine (Deluxe),1475145247,1472770
408,Big Sean,I Decided.,1470762940,1468395
409,Sam Hunt,Montevallo,1468699477,1466334
410,Mustard,Perfect Ten,1468471520,1466107
411,Childish Gambino,"""Awaken, My Love!""",1464865480,1462507
412,The 1975,"I like it when you sleep, for you are so beautiful yet so unaware of it",1458304292,1455956
413,"Tyler, The Creator",IGOR,1457631636,1455284
414,Eminem,Relapse: Refill,1457335317,1454989
415,George Ezra,Wanted on Voyage (Expanded Edition),1456815898,1454470
416,Taylor Swift,Fearless (Platinum Edition),1455493798,1453150
417,Enrique Iglesias,SEX AND LOVE (Deluxe),1449652379,1447318
418,Florence + The Machine,Lungs (Deluxe Edition),1447526068,1445195
419,Milky Chance,Sadnecessary,1447421130,1445090
420,21 Savage,Issa Album,1443940949,1441616
421,The Notorious B.I.G.,Life After Death (2014 Remastered Edition),1443433419,1441109
422,J. Cole,KOD,1443031991,1440708
423,J. Cole,4 Your Eyez Only,1442771895,1440449
424,Drake,Certified Lover Boy,1442154027,1439832
425,George Ezra,Staying at Tamara's,1439364068,1437046
426,Kodak Black,Dying to Live,1438694251,1436378
427,Eminem,Encore (Deluxe Version),1438445069,1436129
428,Journey,Escape,1433586203,1431278
429,Troye Sivan,Blue Neighbourhood (Deluxe),1431404400,1429099
430,Big Sean,Dark Sky Paradise (Deluxe),1430497430,1428194
431,Dermot Kennedy,Without Fear (The Complete Edition),1428361733,1426062
432,AJR,The Click (Deluxe Edition),1428285361,1425985
433,U2,The Joshua Tree (Super Deluxe),1424173650,1421880
434,Kodak Black,Project Baby 2: All Grown Up (Deluxe Edition),1423900811,1421608
435,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),1423300761,1421009
436,Lil Pump,Lil Pump,1422769068,1420478
437,Alesso,Forever,1422487575,1420197
438,Nick Jonas,Last Year Was Complicated,1419797302,1417511
439,Internet Money,B4 The Storm (Complete Edition),1419323293,1417038
440,OneRepublic,Human (Deluxe),1418709067,1416425
441,Polo G,Die A Legend,1406476151,1404211
442,Sech,Sueños,1406434567,1404170
443,MGMT,Oracular Spectacular,1406361679,1404097
444,Macklemore,GEMINI,1403527300,1401267
445,Iggy Azalea,Reclassified,1402710632,1400452
446,Future,High Off Life,1399233808,1396981
447,Eagles,Hotel California (40th Anniversary Expanded Edition),1398679477,1396427
448,Various Artists,8 Mile,1397664093,1395413
449,Playboi Carti,Die Lit,1396986856,1394737
450,Morgan Wallen,If I Know Me,1396332820,1394084
451,Lunay,Épico,1394604062,1392358
452,Reik,Ahora,1389214746,1386978
453,Morat,Balas Perdidas (Edición Especial),1388208643,1385973
454,Demi Lovato,Confident (Deluxe Edition),1385042371,1382812
455,Queen,News Of The World (Deluxe Edition 2011 Remaster),1381298919,1379075
456,Joji,Nectar,1377356052,1375138
457,Linkin Park,Minutes to Midnight,1376921994,1374705
458,Garrett Nash,we,1372881324,1370671
459,A$AP Rocky,TESTING,1370727106,1368520
460,Jason Derulo,Everything Is 4,1370131616,1367925
461,James Arthur,YOU,1368764861,1366561
462,Tiësto,The London Sessions,1365748688,1363549
463,Lil Wayne,Tha Carter IV (Deluxe),1364117542,1361921
464,Aya Nakamura,NAKAMURA (Deluxe Edition),1362807679,1360613
465,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition),1362025082,1359832
466,Wisin,Victory,1361376854,1359185
467,Mumford & Sons,Babel (Deluxe Version),1347206946,1345038
468,Green Day,Dookie,1344685414,1342520
469,TOTO,Toto IV,1343433379,1341270
